date,day,comp,round,venue,result,squad,opponent,start,pos,minutes,gls,ast,pk,pkatt,sh,sot,yellow,red,touches,press,tkl,interceptions,blocks,xg,npxg,xa,sca,gca,passcomp,passattemp,passcomppercent,progpass,carries,progcarries,successdrib,attemptdrib,matchreport,actresult,totgls,totglconceded
9/17/19,Tue,Champions Lg,Group stage,Away,D 0–0,es Barcelona,de Dortmund,N,"RW,LW",32,0,0,0,0,1,0,0,0,33,4,0,1,0,0.1,0.1,0,0,0,18,23,78.3,2,33,4,1,5,Match Report,D,0,0
9/21/19,Sat,La Liga,Matchweek 5,Away,L 0–2,Barcelona,Granada,N,AM,45,0,0,0,0,2,1,0,0,41,2,0,0,0,0.2,0.2,0.1,3,0,24,35,68.6,5,33,7,3,5,Match Report,L,0,2
9/24/19,Tue,La Liga,Matchweek 6,Home,W 2–1,Barcelona,Villarreal,Y*,RW,45,0,1,0,0,1,0,0,0,22,4,0,0,0,0,0,0.1,1,1,12,16,75,3,19,2,1,2,Match Report,W,2,1
10/2/19,Wed,Champions Lg,Group stage,Home,W 2–1,es Barcelona,it Inter,Y*,RW,90,0,1,0,0,4,3,0,0,83,9,1,0,0,0.2,0.2,0.7,12,2,57,68,83.8,14,83,16,11,13,Match Report,W,2,1
10/6/19,Sun,La Liga,Matchweek 8,Home,W 4–0,Barcelona,Sevilla,Y*,RW,90,1,0,0,0,6,3,0,0,83,6,0,0,0,0.4,0.4,0.3,8,1,56,69,81.2,5,74,17,7,9,Match Report,W,4,0
10/19/19,Sat,La Liga,Matchweek 9,Away,W 3–0,Barcelona,Eibar,Y*,RW,90,1,1,0,0,3,1,0,0,60,6,1,0,0,0.6,0.6,0.9,3,1,28,48,58.3,5,53,15,4,6,Match Report,W,3,0
10/23/19,Wed,Champions Lg,Group stage,Away,W 2–1,es Barcelona,cz Slavia Prague,Y*,RW,90,1,0,0,0,5,3,0,0,68,19,0,1,0,1.2,1.2,0.6,6,2,43,54,79.6,11,66,4,12,16,Match Report,W,2,1
10/29/19,Tue,La Liga,Matchweek 11,Home,W 5–1,Barcelona,Valladolid,Y*,RW,90,2,2,0,0,6,4,0,0,82,10,0,0,0,0.5,0.5,1.1,7,2,60,71,84.5,12,82,14,8,11,Match Report,W,5,1
11/2/19,Sat,La Liga,Matchweek 12,Away,L 1–3,Barcelona,Levante,Y*,"RW,FW,AM",90,1,0,1,1,4,2,0,0,73,8,1,0,0,1.6,0.8,0.4,4,0,53,58,91.4,12,58,11,1,3,Match Report,L,1,3
11/5/19,Tue,Champions Lg,Group stage,Home,D 0–0,es Barcelona,cz Slavia Prague,Y*,FW,90,0,0,0,0,8,3,0,0,62,8,1,0,0,1,1,0,3,0,32,46,69.6,4,56,10,7,10,Match Report,D,0,0
11/9/19,Sat,La Liga,Matchweek 13,Home,W 4–1,Barcelona,Celta Vigo,Y*,"RW,FW",90,3,0,1,1,4,4,1,0,91,11,0,0,2,1.1,0.4,0.4,2,1,65,78,83.3,9,75,11,2,2,Match Report,W,4,1
11/23/19,Sat,La Liga,Matchweek 14,Away,W 2–1,Barcelona,Leganés,Y*,AM,90,0,1,0,0,1,1,0,0,70,8,1,0,0,0.1,0.1,0.6,6,2,52,58,89.7,4,64,11,6,7,Match Report,W,2,1
11/27/19,Wed,Champions Lg,Group stage,Home,W 3–1,es Barcelona,de Dortmund,Y*,RW,90,1,2,0,0,5,2,1,0,73,7,0,0,0,0.8,0.8,1.2,9,3,47,58,81,10,69,11,13,18,Match Report,W,3,1
12/1/19,Sun,La Liga,Matchweek 15,Away,W 1–0,Barcelona,Atlético Madrid,Y*,RW,90,1,0,0,0,3,2,0,0,82,13,1,0,0,0.2,0.2,0,3,1,46,67,68.7,10,84,17,8,12,Match Report,W,1,0
12/7/19,Sat,La Liga,Matchweek 16,Home,W 5–2,Barcelona,Mallorca,Y*,RW,90,3,0,0,0,7,4,0,0,95,6,0,0,0,0.3,0.3,0.8,9,0,59,76,77.6,16,78,26,9,11,Match Report,W,5,2
12/14/19,Sat,La Liga,Matchweek 17,Away,D 2–2,Barcelona,Real Sociedad,Y*,RW,90,0,1,0,0,1,0,0,0,49,15,0,0,0,0,0,1.3,5,1,35,39,89.7,5,41,8,6,8,Match Report,D,2,2
12/18/19,Wed,La Liga,Matchweek 10,Home,D 0–0,Barcelona,Real Madrid,Y*,RW,90,0,0,0,0,2,0,0,0,58,22,3,1,0,0.3,0.3,0.2,3,0,41,49,83.7,9,50,12,8,9,Match Report,D,0,0
12/21/19,Sat,La Liga,Matchweek 18,Home,W 4–1,Barcelona,Alavés,Y*,RW,90,1,0,0,0,4,1,0,0,88,7,0,0,0,0.2,0.2,0,5,1,56,74,75.7,9,77,21,6,6,Match Report,W,4,1
1/4/20,Sat,La Liga,Matchweek 19,Away,D 2–2,Barcelona,Espanyol,Y*,"RW,RM",90,0,0,0,0,5,3,0,0,75,8,0,1,0,0.2,0.2,0.5,7,0,40,52,76.9,8,68,8,6,11,Match Report,D,2,2
1/9/20,Thu,Supercopa de España,Semi-finals,Home,L 2–3,Barcelona,Atlético Madrid,Y*,FW,90,1,0,0,0,5,3,0,0,,,,0,,,,,,,,,,,,,,,Match Report,L,2,3
1/19/20,Sun,La Liga,Matchweek 20,Home,W 1–0,Barcelona,Granada,Y*,FW,90,1,0,0,0,9,2,0,0,118,9,1,0,0,1,1,0,11,0,81,96,84.4,14,111,14,4,6,Match Report,W,1,0
1/25/20,Sat,La Liga,Matchweek 21,Away,L 0–2,Barcelona,Valencia,Y*,FW,90,0,0,0,0,11,4,0,0,82,5,0,0,0,0.7,0.7,0.1,7,0,56,65,86.2,13,75,16,4,7,Match Report,L,0,2
1/30/20,Thu,Copa del Rey,Round of 16,Home,W 5–0,Barcelona,Leganés,Y*,FW,90,2,1,0,0,3,3,0,0,,,,0,,,,,,,,,,,,,,,Match Report,W,5,0
2/2/20,Sun,La Liga,Matchweek 22,Home,W 2–1,Barcelona,Levante,Y*,"RW,FW",90,0,2,0,0,10,5,0,0,88,4,0,0,0,1.3,1.3,1.1,14,2,52,67,77.6,16,77,22,10,14,Match Report,W,2,1
2/6/20,Thu,Copa del Rey,Quarter-finals,Away,L 0–1,Barcelona,Athletic Club,Y*,FW,90,0,0,0,0,3,1,1,0,,,,0,,,,,,,,,,,,,,,Match Report,L,0,1
2/9/20,Sun,La Liga,Matchweek 23,Away,W 3–2,Barcelona,Betis,Y*,FW,90,0,3,0,0,4,3,0,0,86,3,2,0,0,0.5,0.5,1,9,3,59,71,83.1,13,72,15,3,4,Match Report,W,3,2
2/15/20,Sat,La Liga,Matchweek 24,Home,W 2–1,Barcelona,Getafe,Y*,"RW,FW",90,0,1,0,0,6,2,0,0,60,3,0,0,0,0.5,0.5,0.6,4,1,38,48,79.2,8,55,13,5,7,Match Report,W,2,1
2/22/20,Sat,La Liga,Matchweek 25,Home,W 5–0,Barcelona,Eibar,Y*,RW,90,4,0,0,0,5,4,0,0,74,10,0,0,0,1.8,1.8,0,4,2,39,57,68.4,9,59,13,3,8,Match Report,W,5,0
2/25/20,Tue,Champions Lg,Round of 16,Away,D 1–1,es Barcelona,it Napoli,Y*,FW,90,0,0,0,0,2,0,1,0,80,16,0,0,1,0.2,0.2,0.3,4,0,53,65,81.5,5,65,8,7,9,Match Report,D,1,1
3/1/20,Sun,La Liga,Matchweek 26,Away,L 0–2,Barcelona,Real Madrid,Y*,FW,90,0,0,0,0,3,2,1,0,84,21,0,1,1,0.2,0.2,0.1,3,0,58,70,82.9,4,65,15,0,2,Match Report,L,0,2
3/7/20,Sat,La Liga,Matchweek 27,Home,W 1–0,Barcelona,Real Sociedad,Y*,FW,90,1,0,1,1,5,1,1,0,60,12,1,0,0,1.5,0.7,0.3,9,0,36,43,83.7,6,59,11,10,13,Match Report,W,1,0
6/13/20,Sat,La Liga,Matchweek 28,Away,W 4–0,Barcelona,Mallorca,Y*,RW,90,1,2,0,0,3,1,0,0,89,7,0,0,0,0.6,0.6,1.5,9,2,61,75,81.3,15,63,14,5,8,Match Report,W,4,0
6/16/20,Tue,La Liga,Matchweek 29,Home,W 2–0,Barcelona,Leganés,Y*,RW,90,1,0,1,1,2,1,0,0,107,11,0,0,3,0.8,0.1,0,6,2,68,87,78.2,8,95,14,5,10,Match Report,W,2,0
6/19/20,Fri,La Liga,Matchweek 30,Away,D 0–0,Barcelona,Sevilla,Y*,FW,90,0,0,0,0,4,2,0,0,88,13,0,0,0,0.2,0.2,0.1,5,0,55,73,75.3,11,76,16,6,12,Match Report,D,0,0
6/23/20,Tue,La Liga,Matchweek 31,Home,W 1–0,Barcelona,Athletic Club,Y*,RW,90,0,1,0,0,7,1,0,0,81,8,0,1,0,0.3,0.3,0.4,11,1,46,61,75.4,10,81,22,11,15,Match Report,W,1,0
6/27/20,Sat,La Liga,Matchweek 32,Away,D 2–2,Barcelona,Celta Vigo,Y*,RW,90,0,2,0,0,7,0,0,0,82,11,1,0,0,0.5,0.5,1.1,13,2,55,69,79.7,8,47,14,4,5,Match Report,D,2,2
6/30/20,Tue,La Liga,Matchweek 33,Home,D 2–2,Barcelona,Atlético Madrid,Y*,FW,90,1,0,1,1,5,1,1,0,84,4,0,0,0,1,0.2,0.1,6,1,52,67,77.6,8,69,16,6,14,Match Report,D,2,2
7/5/20,Sun,La Liga,Matchweek 34,Away,W 4–1,Barcelona,Villarreal,Y*,"AM,RW,FW",90,0,2,0,0,4,2,0,0,105,13,0,0,0,0.5,0.5,0.9,13,3,82,95,86.3,10,82,14,4,8,Match Report,W,4,1
7/8/20,Wed,La Liga,Matchweek 35,Home,W 1–0,Barcelona,Espanyol,Y*,AM,90,0,0,0,0,4,1,0,0,106,7,0,0,0,0.3,0.3,0,4,1,78,96,81.3,17,84,25,4,6,Match Report,W,1,0
7/11/20,Sat,La Liga,Matchweek 36,Away,W 1–0,Barcelona,Valladolid,Y*,FW,90,0,1,0,0,3,1,0,0,79,11,1,0,1,0.1,0.1,0.1,6,1,46,65,70.8,9,60,17,8,11,Match Report,W,1,0
7/16/20,Thu,La Liga,Matchweek 37,Home,L 1–2,Barcelona,Osasuna,Y*,RW,90,1,0,0,0,9,2,0,0,101,4,1,0,0,0.8,0.8,0.4,10,0,63,89,70.8,15,79,21,8,10,Match Report,L,1,2
7/19/20,Sun,La Liga,Matchweek 38,Away,W 5–0,Barcelona,Alavés,Y*,RW,90,2,1,0,0,4,2,0,0,72,5,0,0,0,0.8,0.8,0.7,10,4,48,58,82.8,13,61,7,8,12,Match Report,W,5,0
8/8/20,Sat,Champions Lg,Round of 16,Home,W 3–1,es Barcelona,it Napoli,Y*,"FW,RW",90,1,0,0,0,2,1,0,0,61,21,3,0,0,0.1,0.1,0,3,3,39,47,83,3,46,6,5,6,Match Report,W,3,1
8/14/20,Fri,Champions Lg,Quarter-finals,Neutral,L 2–8,es Barcelona,de Bayern Munich,Y*,"FW,RW,AM",90,0,0,0,0,3,2,0,0,54,9,1,0,0,0.2,0.2,0.1,3,0,26,39,66.7,9,39,9,3,5,Match Report,L,2,8